Algorithm,Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,Test 11,Test 12,Test 13,Test 14,Test 15,Test 16,Test 17,Test 18,Test 19,Test 20,Test 21,Test 22,Test 23,Test 24,Test 25,Test 26,Test 27,Test 28,Test 29,Test 30,
DifferentialEvolution,83.93185901464241,73.59160085850525,83.04867302402577,66.9087278920267,59.80119460339086,106.98414653570968,79.4966053274361,80.6044674403753,69.9608821844008,98.0332394368535,87.68095104648162,50.77289367460754,75.65332329509161,85.0159892838701,71.62880630320763,79.04425993025438,83.14638923842847,94.29914140615024,109.60769327474192,79.87358718611087,118.6805006320768,75.35047855193146,44.03156088241756,92.10146433388131,81.78146970751726,72.72311025801888,80.21402488427385,72.16324242684658,93.36444482762202,82.28063495854106,
FireflyAlgorithm,190.07339593598672,213.3211051920621,226.15166146097062,203.24550862012725,246.51702651445834,181.74764290527642,267.2393989429669,248.83805933803686,165.32807500737826,168.51664368474528,225.83860601356582,187.91855849179353,233.30031788980392,203.3565217378627,234.41343265865973,237.61907435154257,222.39231184138885,201.86524986116933,278.3262780198703,211.04703920524074,192.14715622681626,255.96842598792495,218.90493818208634,174.7889719351545,208.19901396467296,260.0687601957514,128.78891090675637,174.4134426643995,207.88795559925154,167.5457970375695,
ParticleSwarmOptimization,24.137429985679457,20.331976959829433,15.396793801181545,13.892277093277192,18.713869684473412,16.72271012866041,11.253844275384209,14.437114479714209,10.95436761100584,22.32664669887635,17.336868519734768,8.116176100704427,18.779371951423844,25.392700049537005,10.572233133677482,9.795490607895882,23.51696059192654,20.25770651949872,12.987004395985421,10.76433786722333,25.784388750689075,8.327856434737358,18.85569294714903,8.086551628813819,9.120367592269771,13.38536423420868,16.66228293704551,8.965463440532794,33.18682244965834,11.270134735659699,
SelfOrganizingMigrationAlgorithm,20.04336898154345,17.743224101667305,27.600333077395465,18.30747810433057,19.981559827038026,20.308896520826046,24.74825146545679,18.975918083221245,23.319306363043374,25.66174503626425,35.97526812768716,18.104405267543502,19.337899840152094,23.204103442069833,18.531486423594036,22.648484400985463,21.60960845928522,12.085585000284805,33.609342867724806,22.545089774563532,23.19829188273285,19.133678149414106,14.562995920804653,14.575205147519968,21.892716190671806,19.87052140984025,19.23315644088102,12.520993843454418,27.98472079489372,19.644014632578465,
TeachingLearningBasedOptimization,2.3340822372110472,4.631077869720001,3.911594583391494,2.445594837846969,2.6056909278104374,3.2024659040871937,7.020284428582442,2.512834099450438,2.7445293583751424,3.6577842357873664,4.007212311613161,2.5251352131658047,3.445152667107772,2.9561575094138623,2.9371543736444576,2.8894250307809166,4.145578275666154,2.63589834888532,3.6106525568151167,2.791523414015955,3.7200435332831363,5.16210035425694,3.6106304899570807,3.1294332309443194,2.7977546439827905,3.409666077380764,2.353557731535891,2.8005259108966554,2.6922140288212897,2.360968599567789,
