Algorithm,Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,Test 11,Test 12,Test 13,Test 14,Test 15,Test 16,Test 17,Test 18,Test 19,Test 20,Test 21,Test 22,Test 23,Test 24,Test 25,Test 26,Test 27,Test 28,Test 29,Test 30,
DifferentialEvolution,11902.675077340307,11895.483226550297,11864.645967874414,11941.082113021419,11835.976993215892,11928.540101308234,11904.722911845927,11995.406011259534,11934.512302048206,11906.988510991976,11944.906923595714,11858.110397630036,11889.432342305307,11991.807350662444,11899.992809543743,11869.919212912962,11928.938834440578,11845.523602356323,11940.225413490374,11909.375379511113,11953.573710338265,11873.662297610934,11838.802197956458,11952.19301611952,11973.115300967926,12043.159256971105,11969.203378628958,11929.706688309767,11869.484055480354,12002.337160795418,
FireflyAlgorithm,12383.718372406287,12368.964855053946,12403.183782933147,12400.52520536314,12411.121120947526,12410.361486119686,12384.796691721318,12411.484037762819,12330.912591128017,12403.853598749645,12395.216505188564,12445.785085020854,12420.3009102446,12485.052010133444,12410.077469303289,12300.92980201509,12424.908741912795,12404.823507785035,12377.997627144181,12408.489823171156,12428.379643218283,12369.983305734988,12342.42451977044,12346.488517440264,12418.170778102294,12428.945437394152,12357.602940867342,12419.420360773456,12398.815361387713,12415.31260329472,
ParticleSwarmOptimization,11829.167833369389,11753.812495883178,11872.275961990868,11810.2802741595,11732.210376019357,11743.66501652256,11915.79584209498,11771.987010946812,11870.665265351843,11860.321445646316,11751.489906703955,11808.441528446372,11891.082632343183,11856.329376622962,11786.129543053534,11768.616441736069,11891.925349528561,11815.812734625588,11808.480076575424,11797.92459565388,11826.50983495468,11916.664926075731,11795.368690887788,11810.95209048568,11780.794812653845,11800.586958480604,11814.586581065469,11800.950215635254,11789.819341208067,11776.737459970638,
SelfOrganizingMigrationAlgorithm,11916.226532956332,12023.415154602246,11962.395514028622,11976.17691251081,12005.889563465447,12024.136576336621,11960.866575985054,11962.45037878753,12006.53451647575,12006.871627631514,11968.467871761017,11952.599440134481,12021.369651794002,12014.840088092567,11968.35571337269,11975.858895667245,11934.825545045751,11988.655712120944,12022.520977918608,11960.496505266347,12005.853697290553,11876.644434509739,12008.353292582537,12027.10007489391,11980.736916769538,11963.475833653887,11999.924064470775,11978.70247922653,11964.060351282607,11974.354815849889,
TeachingLearningBasedOptimization,12177.469852238748,12070.474452016044,12015.595460314093,12154.754581774232,12089.770363706726,12209.695168912916,12154.208916877336,12059.804143359645,11989.729349773963,12112.864890805982,12049.64084504092,12025.606604483115,12037.422473024015,12164.15163040702,11939.450150135477,12094.877011573633,11788.736921669433,12030.510976344936,12101.950884316842,12157.787735884296,11967.305265422394,12134.436218865087,12086.421229349162,12070.204794124515,12138.412445898583,12170.411353313975,11821.10092100105,12041.829850333213,12164.202463932024,12093.394163119361,
