Algorithm,Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,Test 11,Test 12,Test 13,Test 14,Test 15,Test 16,Test 17,Test 18,Test 19,Test 20,Test 21,Test 22,Test 23,Test 24,Test 25,Test 26,Test 27,Test 28,Test 29,Test 30,
DifferentialEvolution,905.2699137160594,941.6843853168525,948.5156283745098,868.302989874314,897.1374872042815,1133.860897274062,909.8595191951064,799.1793749641868,790.63491772985,978.4816671710643,969.9601969818875,1064.989142400811,744.1192875939589,768.3029257573498,880.8729077538253,817.7782218704065,902.1936245669494,1160.664092481465,984.7440148079015,954.5051341889414,863.3651122467271,819.2469887229219,856.6950656765271,937.2896408351928,993.5543701867724,875.6184872240908,956.9444561711348,688.1342649022394,611.600812344145,903.7132955261587,
FireflyAlgorithm,23652.360146189745,8326.190244639907,2239.845953580898,1136.8817763402585,220189.69670801173,881.5611728367085,885.317655542795,3898566.9320267304,951.6641533240942,225100.82660313352,1896.305942957535,1041.7203581056754,2926.5716909100543,4672.973884218723,783.3028029114427,1188.1078521624188,1169.4414538161175,81187.00419151751,1677.7582208338197,1764.2783741493326,830.8756238190767,61575.65972583312,1191.3207435644379,14885.3220627608,224649.1628129011,8928.971185732704,1193.0056433119964,1006.6567432531501,2986.57255323928,2260.2024944680043,
ParticleSwarmOptimization,579.671546696485,411.6370703996279,898.1459504971674,512.4450979767427,449.73502106796013,627.388720463496,695.2049547982217,653.9605774758567,639.3967367190961,788.086859558495,518.9509076366303,463.771041100051,593.2872090482819,537.7595641926343,707.5551898003841,437.9028318025449,543.3143420302495,426.52327843432425,564.6422715536548,484.71650517527854,462.15896205987815,563.0188627058567,633.378807063558,792.37066097099,612.9912420400638,376.72246949631887,496.493519666756,442.40295091005976,618.5215002677141,533.211915326707,
SelfOrganizingMigrationAlgorithm,283.2624802976247,408.34917437252915,412.1628471404655,398.0497414071901,356.1679370838471,442.42446729351786,340.85459784134724,271.2631818377606,326.15574760219766,348.1866269998752,389.1982458715564,314.4950465196117,231.49842594905928,295.3081929419941,393.86124075758,404.17295023726615,255.17671349859896,397.12063003789336,275.8490053140518,415.4565297682704,294.96871231406647,306.3001485197986,290.440040414086,332.4712713450562,382.4063217974692,293.48030636596593,334.112221813294,327.6617557394285,324.2610362549694,343.0737142792671,
TeachingLearningBasedOptimization,542.7074842834687,272.23937010170647,329.5400856405021,529.50778136423,461.4838649994293,237.03304591345065,208.62057860622997,281.0652248217027,364.29503588352065,377.7804980688342,628.5658591114774,528.4233577838771,465.14125950627823,437.3420389746756,482.7781026246746,718.9981119705558,280.92216540744624,454.44020182019517,401.2967178974004,462.0709813046984,399.6322831537702,649.7088454456162,505.30148694192684,524.0259361567438,543.371645366673,674.926165784141,668.396310298987,197.83783347259896,468.5668812531187,423.06459711955597,
