Algorithm,Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,Test 11,Test 12,Test 13,Test 14,Test 15,Test 16,Test 17,Test 18,Test 19,Test 20,Test 21,Test 22,Test 23,Test 24,Test 25,Test 26,Test 27,Test 28,Test 29,Test 30,
DifferentialEvolution,-11.99550208231901,-9.333206969415684,-9.260015324191073,-9.872195070513097,-8.655327846529042,-8.202420898441401,-9.28482580967292,-9.387739143294844,-8.685531387639651,-9.23085851344714,-9.073653787802218,-9.211404704405313,-9.564441123979329,-9.233915937751924,-10.536957139121279,-9.957934642222426,-9.40578074917643,-9.59167250910427,-9.18005593296363,-8.83994286545053,-9.770325221138348,-9.332588567502231,-9.813410065533848,-9.529643605133579,-9.976134123096783,-9.876410411673076,-9.521609619574113,-9.28399031406476,-10.224547744731275,-11.526649478002458,
FireflyAlgorithm,-8.643560753317242,-8.713214743925457,-8.918551649204138,-8.699329993386385,-8.99258383024553,-8.086494518748829,-7.907883268604681,-8.029908306063245,-7.829824336561462,-8.486694548941628,-7.45336761696226,-8.437140580613466,-7.770207721295115,-8.272374323869071,-8.413974705658163,-8.208858374553806,-7.88438984145883,-8.54631159306417,-8.389131380671246,-8.000141863514843,-8.028875669288565,-7.778209230225457,-8.597967051546608,-8.679995832562263,-8.443595736661614,-8.360107844283132,-8.414302514308025,-7.9646085025467395,-7.724109904665237,-8.457617783715394,
ParticleSwarmOptimization,-11.509808879775683,-11.294108627392907,-12.019018624896379,-12.42813944952342,-10.85713386628053,-9.477863031371271,-11.117141633474295,-11.140607565442787,-9.940887512561208,-9.77310377156738,-13.9165368258456,-14.636880219922746,-10.716740320324012,-11.088278107853304,-14.867083400963965,-9.877321724889525,-13.415400888833709,-13.284108035550643,-9.364539760117825,-12.675143091558141,-9.03709695969475,-12.173141009505654,-10.384397405860097,-11.250925615443327,-9.981954763766822,-11.420707163167119,-14.060244630239554,-14.743854806151653,-14.004353304738775,-12.399750351553598,
SelfOrganizingMigrationAlgorithm,-17.621289294508866,-17.874826767043107,-16.750341040782043,-17.196355035248498,-17.727842710736745,-16.889127660008292,-18.92515733687335,-19.833930013434422,-17.46280204424541,-18.00577713324061,-17.20431304007559,-19.14120801022677,-18.47187562754355,-17.92021190370121,-17.244117063100447,-18.951217069384327,-19.04882141666203,-17.57908752507818,-15.294031865586057,-18.60410267159618,-19.061052584500725,-19.409379975552362,-18.865211024059946,-17.50115467572223,-18.75989521390522,-17.272577015803247,-16.90589739822005,-19.11270798090022,-17.142220496569784,-16.555320329575398,
TeachingLearningBasedOptimization,-10.257404496704128,-9.67982182752488,-9.692458932600955,-8.056415536100511,-9.040074484010209,-9.705018929876323,-8.872940988512282,-8.920286462519742,-9.563652454205624,-9.40703971444458,-8.820348277105687,-9.102820676846653,-9.926288226062583,-8.92791348734345,-9.675233555250335,-8.87207564139735,-9.303760523041294,-9.366835388402926,-13.157683743192464,-9.169373222811794,-10.269214847851552,-10.549181031754149,-8.024375277739493,-8.16894828438139,-11.662659837074818,-9.593178301089115,-8.973497070311268,-9.179280174898205,-8.521632428335614,-10.040720467940623,
