Algorithm,Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,Test 11,Test 12,Test 13,Test 14,Test 15,Test 16,Test 17,Test 18,Test 19,Test 20,Test 21,Test 22,Test 23,Test 24,Test 25,Test 26,Test 27,Test 28,Test 29,Test 30,
DifferentialEvolution,18.486277069734896,18.08807499623493,17.1153017981144,18.411939349442203,18.561508970994375,18.13277353696059,18.858632514929926,17.62293211105015,16.93361827308354,17.085067577289646,18.868032977208014,18.74438474305243,17.95110523683792,18.609034763894744,18.934273633795986,18.030967338683915,17.437947501441272,19.00602976443186,19.317052468364825,18.39836609150081,18.392278853629755,17.63656674723188,17.18971373378761,18.19120748101948,18.279995532447632,18.16781893863894,18.40510129348908,18.415783393456913,18.716198407315876,16.690146798729018,
FireflyAlgorithm,20.707954137596403,20.44986056739818,20.576409473121544,20.6400942692586,20.67419773516311,20.7498741462686,20.66842050314886,19.62746721404701,20.687621902611355,20.762598375864176,20.483224463978924,20.744865022389487,20.749070890253417,20.75135688371424,20.59765493496787,20.772398841382834,20.598107401572413,20.540997711862545,20.5435442106207,20.702612282854876,20.630289497370324,20.660120100507744,20.594331580026967,20.418117103710582,20.606251331129275,20.607094331941916,20.72540346372762,20.6459204011144,20.710034402313457,20.52612689186443,
ParticleSwarmOptimization,8.33894180549047,7.853857877775045,6.741831326234093,10.607262248956166,10.044438678603843,12.15946253208071,8.505023366463508,12.069386851786705,11.97771788261957,8.78612874262647,10.547006521296165,7.112519123343583,8.789798511040937,18.10519642798779,9.522346547736717,9.598862179349846,7.729127037843211,8.739517335459542,6.192870072060362,6.598880994598542,6.100098823113015,12.439645402353326,9.144493230515826,6.890471430560504,9.031950801436457,7.54473116000589,7.179848654819276,8.485843446267522,7.430378650385531,9.373872093907742,
SelfOrganizingMigrationAlgorithm,14.926011153017583,15.57063182473859,15.967075557917624,14.245670116137559,16.613864904624286,14.678933512986818,13.665936042568964,14.862568322425536,14.91628038495845,15.107358339613082,15.174960758063031,16.51932800978442,16.998730120767625,14.20179989841887,13.753585092805992,16.983915762132888,16.398489967281417,14.657564704294685,15.711471897105323,14.918341639335713,14.47347611013095,15.083745614676328,15.199231753947647,15.836168632352337,15.547530625013795,15.29605106527617,14.849645346650572,15.087591692013913,15.381142151923664,13.940328196427307,
TeachingLearningBasedOptimization,6.13380180907912,5.59707578684603,5.771004264865148,6.365931489415686,5.84194268575169,6.947890777439008,6.353840057914493,5.497064461192746,7.730516058841291,6.327838363493655,6.455438297955222,6.068406252794066,6.461200752544741,6.471812032762916,6.7095093337813445,6.922078748982896,6.6686981497369295,6.262617520410156,7.300926888457745,6.124928229201721,5.629200996634495,6.4722867007588825,6.639362833044331,6.064957306959855,6.136402828086293,5.603360200157894,6.019260859567108,6.682213796637303,6.853241294390907,6.465771852268325,
