Algorithm,Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,Test 11,Test 12,Test 13,Test 14,Test 15,Test 16,Test 17,Test 18,Test 19,Test 20,Test 21,Test 22,Test 23,Test 24,Test 25,Test 26,Test 27,Test 28,Test 29,Test 30,
DifferentialEvolution,282.00971531619393,308.67068219278127,316.4278755227999,319.74536749947174,303.3279468283203,312.986580563104,318.89564300606156,302.418821915834,300.42038603964573,276.9612725874464,291.3179368719829,248.53726414472314,321.1444265970265,297.094270380412,317.9388750219968,298.7095282387619,294.05874054653276,296.34689635507095,296.47035507841224,316.42925685049636,282.4129792761532,328.26637076093965,287.3487763232232,294.83005076236776,306.8309577430311,288.3349148569173,308.919370067216,313.4237893084502,289.2223189506493,302.08887390913895,
FireflyAlgorithm,399.32354515864904,410.46828708512294,420.7999187006247,395.0251285748432,417.6794901705599,401.86259936585463,400.443658585986,408.5621671891933,415.8716554724184,402.4470084720243,392.1927009648351,420.3325251572697,407.3009675597665,403.20284302744096,406.4647104547228,390.0066040167813,429.1603602653441,410.475867532761,395.9462752294798,427.52117384126603,397.68397679489624,394.57484100198263,390.31210693194714,432.425592659064,421.4519165322316,423.5087817036736,432.01617667046344,429.1744765246824,384.7858890948089,397.8629179419196,
ParticleSwarmOptimization,189.50823027271048,135.93158061421448,239.86886933754988,168.83339549773444,136.34393767287222,186.22050955767932,200.84700734393806,189.93271293942666,212.4780432307149,216.75985316220607,138.475243212087,184.22707979175084,200.33283492898894,155.57989737884256,148.21124557270653,201.25242968061715,110.79740645457846,179.32662902341974,151.85053057851562,223.2622361739143,104.49050737429585,219.42555376422945,176.6832657239667,164.9973811538932,165.40509965994252,118.93406353463448,183.2181865732329,198.99173520247007,154.50491987299068,183.8558266196976,
SelfOrganizingMigrationAlgorithm,113.82010740969437,115.92819542228247,139.28691702242625,118.61559486751065,155.20037620239532,143.25841089403,137.90665635996558,98.06951235357394,165.94102402555944,140.0488491439966,151.77885806168672,117.66059006617965,140.74239583234916,100.24536829522455,155.427282236376,158.9096481709432,115.48302557267527,137.4435279103175,128.32037624550907,139.87868936229444,131.99487600739462,137.20271000621224,146.0462011624351,85.89420298018018,136.19187938821142,152.81464971347393,115.35725800420312,100.07965991348749,133.11853515763187,128.43049452269906,
TeachingLearningBasedOptimization,221.5215093649125,243.716658660076,229.20521131745966,233.66501320660436,211.06626826831828,253.84130962118905,241.569577104554,208.52345592868272,234.16377396898733,219.9988046386509,234.076524896078,208.57218947301908,224.97184268508937,235.59136200521317,197.29230985741486,223.88954905222968,229.6393418054008,220.36631580724645,238.74525842098942,195.85350761768296,231.76178816645185,244.83570737069272,211.50055623512716,241.9998732498394,240.79138519058705,210.42910438587415,240.39648895408953,230.39186589692417,222.98461796529125,218.69839950385364,
