Algorithm,Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,Test 11,Test 12,Test 13,Test 14,Test 15,Test 16,Test 17,Test 18,Test 19,Test 20,Test 21,Test 22,Test 23,Test 24,Test 25,Test 26,Test 27,Test 28,Test 29,Test 30,
DifferentialEvolution,2.0867634377103528,1.7061946845896787,2.240813349716369,2.4252678502145333,1.7489498618181827,2.0549566545127664,1.922065945899589,1.8545516613425703,2.382814451260245,1.902157190899353,2.037336231773101,2.3478481365016526,2.139405773748994,2.135141219613354,1.8904772299658572,2.088290188526173,2.245072922844663,2.196160145059209,1.7849367972630406,2.389511763981514,1.849601065450479,2.0258818759163737,2.3459102239920417,2.3752921599554266,2.1515624085090836,2.3010113829303958,2.484149324636425,2.2000257854953147,2.260883289411514,2.0828228164222136,
FireflyAlgorithm,5.400011938016529,5.297008240507352,4.8555112532994835,5.631244341098298,5.880222726029475,4.546455779351908,5.163867115085015,5.498189223820601,4.655844087443685,5.652594374890289,5.6494855274374896,5.239576331492002,5.524031433455521,5.631251942330603,5.6252422867957925,5.630817327908381,5.21913246487561,5.7857766159065,5.389718734970912,5.088898173931617,4.547767543545481,5.11828682878268,5.299186642712374,5.70304713839274,4.119778460230359,5.568507450993421,5.396351998826294,5.286035406705138,5.111213466488464,5.36592253494653,
ParticleSwarmOptimization,1.0674234023140474,1.0651888635799986,1.0590713611356732,1.0499504272006235,1.0720830333958555,1.053270906722425,1.0501122332158752,1.07213794242301,1.0714129484908124,1.138483517341333,1.0562547592524625,1.0851492433276442,1.0433201138268107,1.057902438762772,1.0237870365216137,1.0726635730017264,1.090877160378941,1.068080758005044,1.0274017381106275,1.045176557541215,1.0221117901468755,1.0698530663348667,1.0297422470912392,1.0784364693556727,0.9925250818150162,1.0383191076394418,0.9887770920685418,1.0529197496159715,1.0262001192691834,1.0957125698091144,
SelfOrganizingMigrationAlgorithm,1.3499422002996684,1.5894954161643708,1.9858453284872009,1.577714881343962,1.3610218723720542,1.434262929482388,1.4907408924647014,1.6666361630061066,1.5337995865213356,1.711911381247805,1.7485424411367982,1.8328830005397951,1.5876915849205204,1.6493970268084528,1.607246929734093,1.6430399242071632,1.6447291072479608,1.6212294152919695,1.7027260651518403,1.4799579171524488,1.6180763564040246,1.602580198378447,1.5390836093826858,1.697075449982604,1.6121353369415528,1.7027682100627368,1.696768887412859,1.6239149961100598,1.6893267321394192,1.4585422845549871,
TeachingLearningBasedOptimization,1.0272973156052354,1.030749200409853,1.0302191131905547,1.0411299413955648,1.034193818601483,1.0271825649765114,1.0073564357899538,1.0300446457300996,1.003781210645109,1.0179265609846169,1.0439632772998069,1.030597628455313,1.02268605923228,1.0283845792978803,1.0369489197597284,1.0321903595204098,1.0305586739958439,1.041847847634251,1.0349859792424836,1.029351167976114,1.0278957215786326,0.9769626858847261,0.9455231083096346,1.0267003811082829,1.0303468020501676,1.0205945119746616,1.0429112590783858,0.9732534250049244,1.0328584586892404,1.0264200537332395,
