Algorithm,Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,Test 11,Test 12,Test 13,Test 14,Test 15,Test 16,Test 17,Test 18,Test 19,Test 20,Test 21,Test 22,Test 23,Test 24,Test 25,Test 26,Test 27,Test 28,Test 29,Test 30,
DifferentialEvolution,665719.8540343099,518157.2985173493,456155.11030745733,434004.22993703367,296889.2967649914,368704.7100281016,342739.84045584936,398674.5428207388,265225.25192312297,354652.89926478366,315170.80997208523,374678.0722310736,400843.76792289375,400079.3731389451,555331.0878397144,388589.6620032885,207002.49404543554,406320.7658897205,243019.77093577548,634983.5609245044,339053.0320036331,529976.7782658639,394192.5145861086,422591.62854203343,481937.5954326695,368294.4064340278,186308.53362542574,294733.2278996057,547953.6937688024,460417.68620568473,
FireflyAlgorithm,2572003.667634177,3474872.756430262,2425263.812894369,2007368.0387649108,4242474.863413813,3241641.681927999,3672496.3168977853,3841993.994158911,3880856.4734241506,2881520.7546582962,3050321.061485712,3336673.8753201943,3322613.7159318165,4100004.1472668597,2383069.204110837,2531009.2055506855,3785800.695022107,3132649.3443222814,3375336.9451248203,2232520.8769578245,3373926.8681042828,2704358.8392649125,1903984.3358834146,3090070.3332311097,2634504.330607274,2832159.8072411837,3129239.7649296746,3315593.6277002296,2802377.816175803,3420153.2750316886,
ParticleSwarmOptimization,1364.1167189389753,5689.546213372951,2025.7446448022663,8129.311912022436,2429.6745506641746,3171.9140618078495,2987.2566785224376,2439.097637026193,1256.5355206384486,5042.4928430963655,2230.4818692789727,7001.986588986642,2567.4107177259957,14001.819618623334,7171.020336222913,2310.237962052946,2619.448001716938,2055.483449628959,4974.768182996395,2128.1906087265515,3733.940120084073,2729.3418177491167,3962.900219744849,2821.610500463178,2780.8660526760877,2277.2776422089382,2930.891480137705,3714.8385925380453,3923.7375916007727,2513.7944142899414,
SelfOrganizingMigrationAlgorithm,154365.17124181017,79126.17288926014,110491.56329702711,103408.20417139695,82023.03150156069,104980.93943166368,109654.12321428487,115281.71493394357,109715.65478906143,53639.60718621864,155724.9271060544,88103.03190892807,95760.6548340425,134303.79985628367,156502.58884219296,211483.6130728293,67292.22240788261,130897.61747069069,183194.36339406032,70336.43753375315,241009.2176534278,93035.97142155333,54113.13475035405,237665.78703554417,151650.90987457545,46450.99719545578,110683.34496644493,44213.728786765874,135159.87849631763,93117.84236134861,
TeachingLearningBasedOptimization,746.957892573286,1238.1876031705297,707.7346423918732,820.8576576412986,915.0511831346499,588.7679824969022,357.4413088004353,809.1587681588597,774.4492766842599,1141.2192531889118,882.156100674805,738.3357802630104,1134.0738437532345,481.94218246102497,1596.7524789998686,528.8366217261193,681.9729496006577,457.6528652939639,2335.128007841594,399.1346833759475,902.0645243281489,761.6210032369877,1595.866537591941,717.845101270912,624.5955761036753,894.9548250056373,1462.3324511905978,1352.4515902004555,527.7724619402355,551.3422588648474,
