Algorithm,Function,Value
SelfOrganizingMigrationAlgorithm,rastrigin,139.28691702242625
SelfOrganizingMigrationAlgorithm,griewank,1.9858453284872009
SelfOrganizingMigrationAlgorithm,levy,27.600333077395465
SelfOrganizingMigrationAlgorithm,michalewicz,-16.750341040782043
SelfOrganizingMigrationAlgorithm,zakharov,412.1628471404655
SelfOrganizingMigrationAlgorithm,ackley,15.967075557917624
TeachingLearningBasedOptimization,sphere,1.4400446291873106
TeachingLearningBasedOptimization,schwefel,12015.595460314093
TeachingLearningBasedOptimization,rosenbrock,707.7346423918732
TeachingLearningBasedOptimization,rastrigin,229.20521131745966
TeachingLearningBasedOptimization,griewank,1.0302191131905547
TeachingLearningBasedOptimization,levy,3.911594583391494
TeachingLearningBasedOptimization,michalewicz,-9.692458932600955
TeachingLearningBasedOptimization,zakharov,329.5400856405021
TeachingLearningBasedOptimization,ackley,5.771004264865148

DifferentialEvolution,sphere,50.56517922371155
DifferentialEvolution,schwefel,11941.082113021419
DifferentialEvolution,rosenbrock,434004.22993703367
DifferentialEvolution,rastrigin,319.74536749947174
DifferentialEvolution,griewank,2.4252678502145333
DifferentialEvolution,levy,66.9087278920267
DifferentialEvolution,michalewicz,-9.872195070513097
DifferentialEvolution,zakharov,868.302989874314
DifferentialEvolution,ackley,18.411939349442203
FireflyAlgorithm,sphere,176.56797000341035
FireflyAlgorithm,schwefel,12400.52520536314
FireflyAlgorithm,rosenbrock,2007368.0387649108
FireflyAlgorithm,rastrigin,395.0251285748432
FireflyAlgorithm,griewank,5.631244341098298
FireflyAlgorithm,levy,203.24550862012725
FireflyAlgorithm,michalewicz,-8.699329993386385
FireflyAlgorithm,zakharov,1136.8817763402585
FireflyAlgorithm,ackley,20.6400942692586
ParticleSwarmOptimization,sphere,2.164651626197076
ParticleSwarmOptimization,schwefel,11810.2802741595
ParticleSwarmOptimization,rosenbrock,8129.311912022436
ParticleSwarmOptimization,rastrigin,168.83339549773444
ParticleSwarmOptimization,griewank,1.0499504272006235
ParticleSwarmOptimization,levy,13.892277093277192
ParticleSwarmOptimization,michalewicz,-12.42813944952342
ParticleSwarmOptimization,zakharov,512.4450979767427
ParticleSwarmOptimization,ackley,10.607262248956166
SelfOrganizingMigrationAlgorithm,sphere,18.52439919476011
SelfOrganizingMigrationAlgorithm,schwefel,11976.17691251081
SelfOrganizingMigrationAlgorithm,rosenbrock,103408.20417139695
